2023-05-17 02:09:59.318 INFO  c.p.P.PackageConversionApiApplication - Starting PackageConversionApiApplication using Java 18.0.2.1 with PID 7328 (C:\Users\TRA0004\IdeaProjects\PackageConversionAPI\target\classes started by Wasan in C:\Users\TRA0004\IdeaProjects\PackageConversionAPI)
2023-05-17 10:25:01.566 INFO  c.p.P.PackageConversionApiApplication - No active profile set, falling back to 1 default profile: "default"
2023-05-17 10:25:02.681 INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-05-17 10:25:02.697 INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-05-17 10:25:02.697 INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-05-17 10:25:02.698 INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.8]
2023-05-17 10:25:02.798 INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-05-17 10:25:02.798 INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1167 ms
2023-05-17 10:25:03.224 INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-05-17 10:25:03.253 INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-05-17 10:25:03.273 INFO  c.p.P.PackageConversionApiApplication - Started PackageConversionApiApplication in 2.1 seconds (process running for 2.797)
2023-05-17 10:25:06.375 INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-05-17 10:25:06.376 INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-05-17 10:25:06.377 INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2023-05-17 10:25:06.432 INFO  c.p.P.S.ConversionMeasurementService - Input has been successfully converted to a list of numbers. Number list: [1, 2, 2, 3, 3, 15, 14]
2023-05-17 10:25:06.433 ERROR c.p.P.S.ConversionMeasurementService - Error occurred while processing input: Index 7 out of bounds for length 7
2023-05-17 10:25:27.143 INFO  c.p.P.S.ConversionMeasurementService - Input has been successfully converted to a list of numbers. Number list: [0, 0, 1, 2, 2, 3, 3, 15, 14]
2023-05-17 10:25:27.144 ERROR c.p.P.S.ConversionMeasurementService - Error occurred while processing input: Index 9 out of bounds for length 9
2023-05-17 11:04:07.666 INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.package_measurement_conversion.PackageConversionAPI.PackageConversionApiApplicationTests]: PackageConversionApiApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2023-05-17 11:04:07.809 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.package_measurement_conversion.PackageConversionAPI.PackageConversionApiApplication for test class com.package_measurement_conversion.PackageConversionAPI.PackageConversionApiApplicationTests
2023-05-17 11:04:08.203 INFO  c.p.P.PackageConversionApiApplicationTests - Starting PackageConversionApiApplicationTests using Java 18.0.2.1 with PID 18532 (started by Wasan in C:\Users\TRA0004\IdeaProjects\PackageConversionAPI)
2023-05-17 11:04:08.204 INFO  c.p.P.PackageConversionApiApplicationTests - No active profile set, falling back to 1 default profile: "default"
2023-05-17 11:04:09.925 INFO  c.p.P.PackageConversionApiApplicationTests - Started PackageConversionApiApplicationTests in 1.935 seconds (process running for 3.268)
2023-05-17 11:04:10.439 INFO  c.p.P.S.ConversionMeasurementService - Input has been successfully converted to a list of numbers. Number list: [1, 1]
2023-05-17 11:04:10.441 INFO  c.p.P.S.ConversionMeasurementService - Input processed successfully. Result: [1]
2023-05-17 11:05:43.303 INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.package_measurement_conversion.PackageConversionAPI.PackageConversionApiApplicationTests]: PackageConversionApiApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2023-05-17 11:05:43.412 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.package_measurement_conversion.PackageConversionAPI.PackageConversionApiApplication for test class com.package_measurement_conversion.PackageConversionAPI.PackageConversionApiApplicationTests
2023-05-17 11:05:43.770 INFO  c.p.P.PackageConversionApiApplicationTests - Starting PackageConversionApiApplicationTests using Java 18.0.2.1 with PID 11260 (started by Wasan in C:\Users\TRA0004\IdeaProjects\PackageConversionAPI)
2023-05-17 11:05:43.771 INFO  c.p.P.PackageConversionApiApplicationTests - No active profile set, falling back to 1 default profile: "default"
2023-05-17 11:05:44.844 INFO  c.p.P.PackageConversionApiApplicationTests - Started PackageConversionApiApplicationTests in 1.244 seconds (process running for 2.531)
2023-05-17 11:05:45.183 INFO  c.p.P.S.ConversionMeasurementService - Input has been successfully converted to a list of numbers. Number list: [1, 2, 2, 3, 3]
2023-05-17 11:05:45.184 INFO  c.p.P.S.ConversionMeasurementService - Input processed successfully. Result: [2, 6]
2023-05-17 11:10:49.841 INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.package_measurement_conversion.PackageConversionAPI.PackageConversionApiApplicationTests]: PackageConversionApiApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2023-05-17 11:10:49.946 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.package_measurement_conversion.PackageConversionAPI.PackageConversionApiApplication for test class com.package_measurement_conversion.PackageConversionAPI.PackageConversionApiApplicationTests
2023-05-17 11:10:50.290 INFO  c.p.P.PackageConversionApiApplicationTests - Starting PackageConversionApiApplicationTests using Java 18.0.2.1 with PID 20756 (started by Wasan in C:\Users\TRA0004\IdeaProjects\PackageConversionAPI)
2023-05-17 11:10:50.291 INFO  c.p.P.PackageConversionApiApplicationTests - No active profile set, falling back to 1 default profile: "default"
2023-05-17 11:10:51.332 INFO  c.p.P.PackageConversionApiApplicationTests - Started PackageConversionApiApplicationTests in 1.24 seconds (process running for 2.456)
2023-05-17 11:10:51.731 INFO  c.p.P.S.ConversionMeasurementService - Input has been successfully converted to a list of numbers. Number list: [1, 1]
2023-05-17 11:10:51.732 INFO  c.p.P.S.ConversionMeasurementService - Input processed successfully. Result: [1]
2023-05-17 11:16:25.843 INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.package_measurement_conversion.PackageConversionAPI.PackageConversionApiApplicationTests]: PackageConversionApiApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2023-05-17 11:16:25.979 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.package_measurement_conversion.PackageConversionAPI.PackageConversionApiApplication for test class com.package_measurement_conversion.PackageConversionAPI.PackageConversionApiApplicationTests
2023-05-17 11:16:26.546 INFO  c.p.P.PackageConversionApiApplicationTests - Starting PackageConversionApiApplicationTests using Java 17.0.2 with PID 21316 (started by Wasan in C:\Users\TRA0004\IdeaProjects\PackageConversionAPI)
2023-05-17 11:16:26.549 INFO  c.p.P.PackageConversionApiApplicationTests - No active profile set, falling back to 1 default profile: "default"
2023-05-17 11:16:28.021 INFO  c.p.P.PackageConversionApiApplicationTests - Started PackageConversionApiApplicationTests in 1.813 seconds (process running for 3.288)
2023-05-17 11:16:28.571 INFO  c.p.P.S.ConversionMeasurementService - Input has been successfully converted to a list of numbers. Number list: [1, 1]
2023-05-17 11:16:28.573 INFO  c.p.P.S.ConversionMeasurementService - Input processed successfully. Result: [1]
2023-05-17 11:16:28.593 INFO  c.p.P.S.ConversionMeasurementService - Input has been successfully converted to a list of numbers. Number list: [1, 2, 2, 3, 3]
2023-05-17 11:16:28.593 INFO  c.p.P.S.ConversionMeasurementService - Input processed successfully. Result: [2, 6]
2023-05-17 11:16:28.598 INFO  c.p.P.S.ConversionMeasurementService - Input has been successfully converted to a list of numbers. Number list: [4, 26, 1, 0, 1, 1, 53, 1, 1]
2023-05-17 11:16:28.598 INFO  c.p.P.S.ConversionMeasurementService - Input processed successfully. Result: [28, 53, 1]
2023-05-17 11:16:28.601 INFO  c.p.P.S.ConversionMeasurementService - Input has been successfully converted to a list of numbers. Number list: []
2023-05-17 11:16:28.601 INFO  c.p.P.S.ConversionMeasurementService - Input processed successfully. Result: []
2023-05-17 11:16:28.605 INFO  c.p.P.S.ConversionMeasurementService - Input has been successfully converted to a list of numbers. Number list: [1, 0]
2023-05-17 11:16:28.605 INFO  c.p.P.S.ConversionMeasurementService - Input processed successfully. Result: [0]
2023-05-17 11:16:28.609 INFO  c.p.P.S.ConversionMeasurementService - Input has been successfully converted to a list of numbers. Number list: [1, 2, 3, 4, 1, 2, 3, 4, 1, 2]
2023-05-17 11:16:28.609 INFO  c.p.P.S.ConversionMeasurementService - Input processed successfully. Result: [2, 7, 7]
2023-05-17 11:16:28.614 INFO  c.p.P.S.ConversionMeasurementService - Input has been successfully converted to a list of numbers. Number list: [1, 2, 3, 4, 1, 2, 3, 4, 1, 2, 0]
2023-05-17 11:16:28.614 INFO  c.p.P.S.ConversionMeasurementService - Input processed successfully. Result: [2, 7, 7, 0]
2023-05-17 11:16:28.617 INFO  c.p.P.S.ConversionMeasurementService - Input has been successfully converted to a list of numbers. Number list: [30, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1]
2023-05-17 11:16:28.618 INFO  c.p.P.S.ConversionMeasurementService - Input processed successfully. Result: [34]
2023-05-17 11:16:28.622 INFO  c.p.P.S.ConversionMeasurementService - Input has been successfully converted to a list of numbers. Number list: [53, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0]
2023-05-17 11:16:28.626 INFO  c.p.P.S.ConversionMeasurementService - Input processed successfully. Result: [26]
2023-05-17 11:16:28.631 INFO  c.p.P.S.ConversionMeasurementService - Input has been successfully converted to a list of numbers. Number list: [27, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 27, 1, 1]
2023-05-17 11:16:28.632 INFO  c.p.P.S.ConversionMeasurementService - Input processed successfully. Result: [40, 1]
2023-05-17 11:17:55.586 INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.package_measurement_conversion.PackageConversionAPI.PackageConversionApiApplicationTests]: PackageConversionApiApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2023-05-17 11:17:55.680 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.package_measurement_conversion.PackageConversionAPI.PackageConversionApiApplication for test class com.package_measurement_conversion.PackageConversionAPI.PackageConversionApiApplicationTests
2023-05-17 11:17:56.042 INFO  c.p.P.PackageConversionApiApplicationTests - Starting PackageConversionApiApplicationTests using Java 17.0.2 with PID 5108 (started by Wasan in C:\Users\TRA0004\IdeaProjects\PackageConversionAPI)
2023-05-17 11:17:56.043 INFO  c.p.P.PackageConversionApiApplicationTests - No active profile set, falling back to 1 default profile: "default"
2023-05-17 11:17:57.193 INFO  c.p.P.PackageConversionApiApplicationTests - Started PackageConversionApiApplicationTests in 1.368 seconds (process running for 2.494)
2023-05-17 11:17:57.736 INFO  c.p.P.S.ConversionMeasurementService - Input has been successfully converted to a list of numbers. Number list: [1, 1]
2023-05-17 11:17:57.738 INFO  c.p.P.S.ConversionMeasurementService - Input processed successfully. Result: [1]
2023-05-17 11:17:57.754 INFO  c.p.P.S.ConversionMeasurementService - Input has been successfully converted to a list of numbers. Number list: [1, 2, 2, 3, 3]
2023-05-17 11:17:57.755 INFO  c.p.P.S.ConversionMeasurementService - Input processed successfully. Result: [2, 6]
2023-05-17 11:17:57.760 INFO  c.p.P.S.ConversionMeasurementService - Input has been successfully converted to a list of numbers. Number list: [4, 26, 1, 0, 1, 1, 53, 1, 1]
2023-05-17 11:17:57.761 INFO  c.p.P.S.ConversionMeasurementService - Input processed successfully. Result: [28, 53, 1]
2023-05-17 11:17:57.764 INFO  c.p.P.S.ConversionMeasurementService - Input has been successfully converted to a list of numbers. Number list: []
2023-05-17 11:17:57.764 INFO  c.p.P.S.ConversionMeasurementService - Input processed successfully. Result: []
2023-05-17 11:17:57.767 INFO  c.p.P.S.ConversionMeasurementService - Input has been successfully converted to a list of numbers. Number list: [1, 0]
2023-05-17 11:17:57.767 INFO  c.p.P.S.ConversionMeasurementService - Input processed successfully. Result: [0]
2023-05-17 11:17:57.770 INFO  c.p.P.S.ConversionMeasurementService - Input has been successfully converted to a list of numbers. Number list: [1, 2, 3, 4, 1, 2, 3, 4, 1, 2]
2023-05-17 11:17:57.770 INFO  c.p.P.S.ConversionMeasurementService - Input processed successfully. Result: [2, 7, 7]
2023-05-17 11:17:57.773 INFO  c.p.P.S.ConversionMeasurementService - Input has been successfully converted to a list of numbers. Number list: [1, 2, 3, 4, 1, 2, 3, 4, 1, 2, 0]
2023-05-17 11:17:57.774 INFO  c.p.P.S.ConversionMeasurementService - Input processed successfully. Result: [2, 7, 7, 0]
2023-05-17 11:17:57.778 INFO  c.p.P.S.ConversionMeasurementService - Input has been successfully converted to a list of numbers. Number list: [30, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1]
2023-05-17 11:17:57.778 INFO  c.p.P.S.ConversionMeasurementService - Input processed successfully. Result: [34]
2023-05-17 11:17:57.781 INFO  c.p.P.S.ConversionMeasurementService - Input has been successfully converted to a list of numbers. Number list: [53, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0]
2023-05-17 11:17:57.781 INFO  c.p.P.S.ConversionMeasurementService - Input processed successfully. Result: [26]
2023-05-17 11:17:57.786 INFO  c.p.P.S.ConversionMeasurementService - Input has been successfully converted to a list of numbers. Number list: [27, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 27, 1, 1]
2023-05-17 11:17:57.786 INFO  c.p.P.S.ConversionMeasurementService - Input processed successfully. Result: [40, 1]
2023-05-17 13:36:25.373 INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.package_measurement_conversion.PackageConversionAPI.PackageConversionApiApplicationTests]: PackageConversionApiApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2023-05-17 13:36:25.529 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.package_measurement_conversion.PackageConversionAPI.PackageConversionApiApplication for test class com.package_measurement_conversion.PackageConversionAPI.PackageConversionApiApplicationTests
2023-05-17 13:36:25.941 INFO  c.p.P.PackageConversionApiApplicationTests - Starting PackageConversionApiApplicationTests using Java 18.0.2.1 with PID 17456 (started by Wasan in C:\Users\TRA0004\IdeaProjects\PackageConversionAPI)
2023-05-17 13:36:25.942 INFO  c.p.P.PackageConversionApiApplicationTests - No active profile set, falling back to 1 default profile: "default"
2023-05-17 13:36:27.499 INFO  c.p.P.PackageConversionApiApplicationTests - Started PackageConversionApiApplicationTests in 1.796 seconds (process running for 3.328)
2023-05-17 13:36:28.034 INFO  c.p.P.S.ConversionMeasurementService - Input has been successfully converted to a list of numbers. Number list: [1, 1]
2023-05-17 13:36:28.034 INFO  c.p.P.S.ConversionMeasurementService - Input processed successfully. Result: [1]
2023-05-17 13:37:45.908 INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.package_measurement_conversion.PackageConversionAPI.PackageConversionApiApplicationTests]: PackageConversionApiApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2023-05-17 13:37:46.024 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.package_measurement_conversion.PackageConversionAPI.PackageConversionApiApplication for test class com.package_measurement_conversion.PackageConversionAPI.PackageConversionApiApplicationTests
2023-05-17 13:37:46.396 INFO  c.p.P.PackageConversionApiApplicationTests - Starting PackageConversionApiApplicationTests using Java 18.0.2.1 with PID 17008 (started by Wasan in C:\Users\TRA0004\IdeaProjects\PackageConversionAPI)
2023-05-17 13:37:46.397 INFO  c.p.P.PackageConversionApiApplicationTests - No active profile set, falling back to 1 default profile: "default"
2023-05-17 13:37:47.673 INFO  c.p.P.PackageConversionApiApplicationTests - Started PackageConversionApiApplicationTests in 1.494 seconds (process running for 2.928)
2023-05-17 13:37:48.099 INFO  c.p.P.S.ConversionMeasurementService - Input has been successfully converted to a list of numbers. Number list: [1, 1]
2023-05-17 13:37:48.101 INFO  c.p.P.S.ConversionMeasurementService - Input processed successfully. Result: [1]
2023-05-17 13:38:27.295 INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.package_measurement_conversion.PackageConversionAPI.PackageConversionApiApplicationTests]: PackageConversionApiApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
